MsgID.STATE,1518699055.2088041,False,False
MsgID.LOCAL_VELOCITY,1518699066.1507463,2.9400000,0.0800000,-0.1200000
MsgID.LOCAL_POSITION,1518699066.1532464,6.3911428,0.4893836,-2.9642577
MsgID.LOCAL_VELOCITY,1518699066.1532464,2.9446659,0.0804279,-0.1220263
MsgID.STATE,1518699066.3878634,True,False
MsgID.GLOBAL_HOME,1518699066.3927505,-121.9939422,37.4137382,0.0000000
MsgID.LOCAL_POSITION,1518699066.4007454,7.3451786,0.3398444,-2.9744735
MsgID.LOCAL_VELOCITY,1518699066.4007454,3.8651643,0.0512017,-0.0878816
MsgID.GLOBAL_POSITION,1518699066.4018383,-121.9939384,37.4138043,2.9740000
MsgID.LOCAL_VELOCITY,1518699066.4018383,3.8600000,0.0500000,-0.0800000
MsgID.GLOBAL_POSITION,1518699066.6497838,-121.9939367,37.4138137,2.9730000
MsgID.LOCAL_VELOCITY,1518699066.6497838,4.3900000,0.1100000,-0.0100000
MsgID.LOCAL_POSITION,1518699066.6507661,8.3918419,0.4887938,-2.9738302
MsgID.LOCAL_VELOCITY,1518699066.6507661,4.3998899,0.1198480,-0.0159228
MsgID.GLOBAL_POSITION,1518699066.9002700,-121.9939378,37.4138215,2.9700000
MsgID.LOCAL_VELOCITY,1518699066.9002700,3.9000000,0.1100000,0.0000000
MsgID.LOCAL_POSITION,1518699066.9007711,9.2532692,0.3942025,-2.9709260
MsgID.LOCAL_VELOCITY,1518699066.9007711,3.9052007,0.1191447,-0.0096975
MsgID.GLOBAL_POSITION,1518699067.1502717,-121.9939386,37.4138288,2.9650000
MsgID.LOCAL_VELOCITY,1518699067.1502717,2.6000000,0.1100000,0.0500000
MsgID.LOCAL_POSITION,1518699067.1507843,10.0671082,0.3232875,-2.9652011
MsgID.LOCAL_VELOCITY,1518699067.1507843,2.6062951,0.1153762,0.0562548
MsgID.STATE,1518699067.3867753,True,False
MsgID.GLOBAL_HOME,1518699067.3877783,-121.9939422,37.4137382,0.0000000
MsgID.GLOBAL_POSITION,1518699067.4032705,-121.9939355,37.4138333,2.9630000
MsgID.LOCAL_VELOCITY,1518699067.4032705,1.2000000,0.1600000,-0.0600000
MsgID.LOCAL_POSITION,1518699067.4062707,10.5645895,0.5995900,-2.9634042
MsgID.LOCAL_VELOCITY,1518699067.4062707,1.2089185,0.1658741,-0.0612220
MsgID.GLOBAL_POSITION,1518699067.6522715,-121.9939347,37.4138361,2.9820000
MsgID.LOCAL_VELOCITY,1518699067.6522715,0.3100000,0.0700000,-0.0600000
MsgID.LOCAL_POSITION,1518699067.6527698,10.8825388,0.6715708,-2.9823136
MsgID.LOCAL_VELOCITY,1518699067.6527698,0.3189393,0.0767321,-0.0668622
MsgID.GLOBAL_POSITION,1518699067.9052775,-121.9939356,37.4138368,2.9730000
MsgID.LOCAL_VELOCITY,1518699067.9052775,-0.1700000,-0.0600000,0.0600000
MsgID.LOCAL_POSITION,1518699067.9067719,10.9549484,0.5838299,-2.9739323
MsgID.LOCAL_VELOCITY,1518699067.9067719,-0.1764761,-0.0697441,0.0687968
MsgID.GLOBAL_POSITION,1518699068.1527698,-121.9939361,37.4138340,2.9590000
MsgID.LOCAL_VELOCITY,1518699068.1527698,-0.6600000,-0.1500000,0.0000000
MsgID.LOCAL_POSITION,1518699068.1567721,10.6410418,0.5401924,-2.9597297
MsgID.LOCAL_VELOCITY,1518699068.1567721,-0.6607952,-0.1595342,-0.0075963
MsgID.STATE,1518699068.3852708,True,False
MsgID.GLOBAL_HOME,1518699068.3867702,-121.9939422,37.4137382,0.0000000
MsgID.GLOBAL_POSITION,1518699068.4047704,-121.9939369,37.4138318,2.9510000
MsgID.LOCAL_VELOCITY,1518699068.4047704,-0.5400000,0.3200000,-0.1000000
MsgID.LOCAL_POSITION,1518699068.4052706,10.3961821,0.4732924,-2.9517586
MsgID.LOCAL_VELOCITY,1518699068.4052706,-0.5437246,0.3284693,-0.1037295
MsgID.LOCAL_POSITION,1518699068.6537709,10.4970360,0.8626469,-2.9441726
MsgID.LOCAL_VELOCITY,1518699068.6537709,-0.4249459,1.6794497,-0.0638495
MsgID.GLOBAL_POSITION,1518699068.6542702,-121.9939325,37.4138327,2.9440000
MsgID.LOCAL_VELOCITY,1518699068.6542702,-0.4200000,1.6700000,-0.0600000
MsgID.GLOBAL_POSITION,1518699068.9052701,-121.9939261,37.4138321,2.9530000
MsgID.LOCAL_VELOCITY,1518699068.9052701,-0.4200000,2.7900000,-0.1400000
MsgID.LOCAL_POSITION,1518699068.9062712,10.4386282,1.4283421,-2.9535286
MsgID.LOCAL_VELOCITY,1518699068.9062712,-0.4293492,2.7986310,-0.1489393
MsgID.GLOBAL_POSITION,1518699069.1538169,-121.9939176,37.4138309,2.9610000
MsgID.LOCAL_VELOCITY,1518699069.1538169,-0.4100000,3.7000000,-0.0800000
MsgID.LOCAL_POSITION,1518699069.1542699,10.2948875,2.1894698,-2.9611206
MsgID.LOCAL_VELOCITY,1518699069.1542699,-0.4125405,3.7091084,-0.0839911
MsgID.STATE,1518699069.3877707,True,False
MsgID.GLOBAL_HOME,1518699069.3887730,-121.9939422,37.4137382,0.0000000
MsgID.GLOBAL_POSITION,1518699069.4042704,-121.9939086,37.4138290,2.9650000
MsgID.LOCAL_VELOCITY,1518699069.4042704,-0.3100000,4.4400000,-0.0500000
MsgID.LOCAL_POSITION,1518699069.4047713,10.0879917,2.9850669,-2.9653325
MsgID.LOCAL_VELOCITY,1518699069.4047713,-0.3111510,4.4442039,-0.0579736
MsgID.GLOBAL_POSITION,1518699069.6557729,-121.9938958,37.4138284,2.9640000
MsgID.LOCAL_VELOCITY,1518699069.6557729,-0.0700000,4.3700000,-0.0400000
MsgID.LOCAL_POSITION,1518699069.6567721,10.0202255,4.1255531,-2.9643500
MsgID.LOCAL_VELOCITY,1518699069.6567721,-0.0755460,4.3742013,-0.0422126
MsgID.GLOBAL_POSITION,1518699069.9052696,-121.9938843,37.4138279,2.9650000
MsgID.LOCAL_VELOCITY,1518699069.9052696,0.1200000,3.2600000,-0.0200000
MsgID.LOCAL_POSITION,1518699069.9067736,9.9664669,5.1501312,-2.9653263
MsgID.LOCAL_VELOCITY,1518699069.9067736,0.1218216,3.2617378,-0.0256350
MsgID.GLOBAL_POSITION,1518699070.1542709,-121.9938763,37.4138287,2.9740000
MsgID.LOCAL_VELOCITY,1518699070.1542709,0.1600000,1.6100000,0.0000000
MsgID.LOCAL_POSITION,1518699070.1547706,10.0565405,5.8572526,-2.9745846
MsgID.LOCAL_VELOCITY,1518699070.1547706,0.1679689,1.6161472,0.0029883
MsgID.STATE,1518699070.3857749,True,False
MsgID.GLOBAL_HOME,1518699070.3867741,-121.9939422,37.4137382,0.0000000
MsgID.LOCAL_POSITION,1518699070.4048307,9.9627094,6.1403742,-2.9837372
MsgID.LOCAL_VELOCITY,1518699070.4048307,0.0823956,0.5229353,0.0323043
MsgID.GLOBAL_POSITION,1518699070.4067788,-121.9938731,37.4138279,2.9830000
MsgID.LOCAL_VELOCITY,1518699070.4067788,0.0800000,0.5200000,0.0300000
MsgID.GLOBAL_POSITION,1518699070.6557720,-121.9938729,37.4138280,2.9900000
MsgID.LOCAL_VELOCITY,1518699070.6557720,0.1600000,-0.3100000,0.1100000
MsgID.LOCAL_POSITION,1518699070.6567724,9.9749136,6.1604805,-2.9909828
MsgID.LOCAL_VELOCITY,1518699070.6567724,0.1643810,-0.3144831,0.1128802
